Config file checksum: 97479A50
01 extDist
02 extPres
03 tilt
04 rotaDirDrill
05 feedExtCurr
06 adpeStatus
07 adpeTask
HHMMSS.MS  ID VALUE
145621.414 03 0.304
145621.494 01 0.828
145621.494 02 2.996
145621.494 03 0.304
145621.574 01 0.828
145621.575 02 2.996
145621.575 03 0.304
145621.655 01 0.828
145621.655 02 2.996
145621.655 03 0.304
145621.735 01 0.825
145621.735 02 3.424
145621.736 03 0.304
145621.816 01 0.828
145621.816 02 2.996
145621.816 03 0.304
145621.896 01 0.828
145621.896 02 2.568
145621.896 03 0.304
145621.976 01 0.828
145621.976 02 2.996
145621.977 03 0.304
145622.057 01 0.828
145622.057 02 3.424
145622.057 03 0.304
145622.137 01 0.828
145622.137 02 2.568
145622.137 03 0.304
145622.218 01 0.828
145622.218 02 2.568
145622.218 03 0.304
145622.297 01 0.828
145622.298 02 2.140
145622.298 03 0.304
145622.377 01 0.828
145622.378 02 2.996
145622.378 03 0.304
145622.458 01 0.828
145622.458 02 3.424
145622.458 03 0.304
145622.538 01 0.828
145622.538 02 2.996
145622.538 03 0.304
145622.619 01 0.828
145622.619 02 2.996
145622.619 03 0.304
145622.699 01 0.828
145622.699 02 2.996
145622.699 03 0.304
145622.779 01 0.828
145622.780 02 2.996
145622.780 03 0.304
145622.860 01 0.828
145622.860 02 2.996
145622.860 03 0.304
145622.940 01 0.828
145622.940 02 2.996
145622.940 03 0.304
145623.020 01 0.828
145623.020 02 2.996
145623.020 03 0.304
145623.101 01 0.828
145623.101 02 2.996
145623.101 03 0.304
145623.181 01 0.828
145623.181 02 2.568
145623.181 03 0.304
145623.261 01 0.828
145623.262 02 2.996
145623.262 03 0.304
145623.342 01 0.828
145623.342 02 2.568
145623.342 03 0.304
145623.422 01 0.828
145623.422 02 2.996
145623.422 03 0.304
145623.503 01 0.828
145623.503 02 2.568
145623.503 03 0.304
145623.582 01 0.828
145623.582 02 2.996
145623.582 03 0.304
145623.662 01 0.828
145623.662 02 3.424
145623.662 03 0.304
145623.742 01 0.828
145623.743 02 2.568
145623.743 03 0.304
145623.822 01 0.828
145623.822 02 2.996
145623.822 03 0.304
145623.902 01 0.828
145623.902 02 2.996
145623.903 03 0.304
145623.982 01 0.828
145623.982 02 2.996
145623.983 03 0.304
145624.072 01 0.828
145624.072 02 2.568
145624.073 03 0.304
145624.153 01 0.828
145624.153 02 2.996
145624.153 03 0.304
145624.232 01 0.828
145624.232 02 3.424
145624.233 03 0.304
145624.313 01 0.828
145624.313 02 2.996
145624.313 03 0.304
145624.393 01 0.828
145624.393 02 2.140
145624.393 03 0.304
145624.473 01 0.828
145624.473 02 2.996
145624.474 03 0.304
145624.553 01 0.825
145624.553 02 3.424
145624.553 03 0.304
145624.634 01 0.828
145624.634 02 3.424
145624.634 03 0.304
145624.714 01 0.828
145624.714 02 2.140
145624.714 03 0.304
145624.795 01 0.828
145624.795 02 2.996
145624.795 03 0.304
145624.875 01 0.828
145624.875 02 3.424
145624.875 03 0.304
145624.955 01 0.828
145624.955 02 2.996
145624.955 03 0.304
145625.036 01 0.828
145625.036 02 2.996
145625.036 03 0.304
145625.116 01 0.828
145625.116 02 2.996
145625.116 03 0.304
145625.197 01 0.828
145625.197 02 2.568
145625.197 03 0.304
145625.278 01 0.828
145625.278 02 3.424
145625.278 03 0.304
145625.358 01 0.825
145625.358 02 2.568
145625.358 03 0.304
145625.438 01 0.825
145625.438 02 2.140
145625.438 03 0.304
145625.518 01 0.828
145625.518 02 2.996
145625.518 03 0.304
145625.599 01 0.828
145625.599 02 2.996
145625.599 03 0.304
145625.679 01 0.828
145625.679 02 2.568
145625.679 03 0.304
145625.759 01 0.828
145625.759 02 2.996
145625.759 03 0.304
145625.839 01 0.828
145625.840 02 2.568
145625.840 03 0.304
145625.920 01 0.828
145625.920 02 2.568
145625.920 03 0.304
145626.000 01 0.828
145626.000 02 2.996
145626.000 03 0.304
145626.081 01 0.825
145626.081 02 2.140
145626.081 03 0.304
145626.161 01 0.828
145626.161 02 2.996
145626.161 03 0.304
145626.241 01 0.828
145626.241 02 2.568
145626.241 03 0.304
145626.321 01 0.828
145626.321 02 2.996
145626.321 03 0.304
145626.402 01 0.828
145626.402 02 2.996
145626.402 03 0.304
145626.482 01 0.828
145626.482 02 2.996
145626.482 03 0.304
145626.561 01 0.828
145626.561 02 2.568
145626.561 03 0.304
145626.642 01 0.828
145626.642 02 2.140
145626.642 03 0.304
145626.722 01 0.828
145626.722 02 2.140
145626.722 03 0.304
145626.801 01 0.828
145626.801 02 2.996
145626.801 03 0.304
145626.882 01 0.828
145626.882 02 2.996
145626.882 03 0.304
145626.962 01 0.828
145626.962 02 2.140
145626.962 03 0.304
145627.042 01 0.828
145627.042 02 2.568
145627.042 03 0.304
145627.122 01 0.828
145627.122 02 2.568
145627.122 03 0.304
145627.202 01 0.828
145627.202 02 2.996
145627.202 03 0.304
145627.282 01 0.828
145627.282 02 2.996
145627.282 03 0.304
145627.361 01 0.828
145627.361 02 2.568
145627.362 03 0.304
145627.442 01 0.828
145627.442 02 2.568
145627.442 03 0.304
145627.522 01 0.828
145627.522 02 2.996
145627.522 03 0.304
145627.603 01 0.828
145627.603 02 2.568
145627.603 03 0.304
145627.683 01 0.828
145627.683 02 2.568
145627.683 03 0.304
145627.763 01 0.828
145627.763 02 2.568
145627.763 03 0.304
145627.844 01 0.828
145627.844 02 2.568
145627.844 03 0.304
145627.924 01 0.828
145627.924 02 2.140
145627.924 03 0.304
145628.004 01 0.828
145628.004 02 2.568
