Config file checksum: 97479A50
01 extDist
02 extPres
03 tilt
04 rotaDirDrill
05 feedExtCurr
06 adpeStatus
07 adpeTask
HHMMSS.MS  ID VALUE
130617.033 03 0.000
130617.114 01 1.065
130617.114 02 5.136
130617.114 03 0.000
130617.194 01 1.065
130617.194 02 4.280
130617.194 03 0.000
130617.274 01 1.065
130617.274 02 4.280
130617.274 03 0.000
130617.354 01 1.065
130617.355 02 3.424
130617.355 03 0.000
130617.434 01 1.065
130617.434 02 2.996
130617.434 03 0.000
130617.515 01 1.065
130617.515 02 2.568
130617.515 03 0.000
130617.595 01 1.065
130617.595 02 2.996
130617.595 03 0.000
130617.675 01 1.068
130617.675 02 2.996
130617.675 03 0.000
130617.755 01 1.065
130617.755 02 2.996
130617.756 03 0.000
130617.836 01 1.065
130617.836 02 4.280
130617.836 03 0.000
130617.916 01 1.065
130617.916 02 3.852
130617.916 03 0.000
130618.000 01 1.065
130618.001 02 3.852
130618.001 03 0.000
130618.077 01 1.065
130618.077 02 3.852
130618.077 03 0.000
130618.157 01 1.065
130618.157 02 3.424
130618.157 03 0.000
130618.238 01 1.065
130618.238 02 2.568
130618.238 03 0.000
130618.318 01 1.068
130618.318 02 2.568
130618.318 03 0.000
130618.398 01 1.068
130618.398 02 2.568
130618.398 03 0.152
130618.479 01 1.065
130618.479 02 2.996
130618.479 03 0.000
130618.559 01 1.065
130618.559 02 2.568
130618.559 03 0.000
130618.639 01 1.065
130618.639 02 3.424
130618.639 03 0.000
130618.720 01 1.065
130618.720 02 4.280
130618.720 03 0.000
130618.800 01 1.068
130618.800 02 4.708
130618.800 03 0.000
130618.880 01 1.065
130618.880 02 3.852
130618.880 03 0.152
130618.960 01 1.068
130618.960 02 3.852
130618.960 03 0.000
130619.041 01 1.065
130619.041 02 3.852
130619.041 03 0.000
130619.121 01 1.065
130619.121 02 3.424
130619.121 03 0.000
130619.201 01 1.065
130619.201 02 2.996
130619.201 03 0.000
130619.281 01 1.065
130619.281 02 2.996
130619.281 03 0.000
130619.362 01 1.065
130619.362 02 2.568
130619.362 03 0.000
130619.442 01 1.065
130619.442 02 2.568
130619.442 03 0.000
130619.522 01 1.068
130619.522 02 2.996
130619.522 03 0.000
130619.602 01 1.065
130619.602 02 2.996
130619.602 03 0.000
130619.682 01 1.068
130619.682 02 3.424
130619.682 03 0.000
130619.762 01 1.068
130619.762 02 3.424
130619.762 03 0.000
130619.842 01 1.065
130619.842 02 3.424
130619.842 03 0.000
130619.923 01 1.068
130619.923 02 3.424
130619.923 03 0.152
130620.003 01 1.068
130620.003 02 2.996
130620.003 03 0.000
130620.083 01 1.065
130620.083 02 2.996
130620.083 03 0.000
130620.163 01 1.065
130620.163 02 2.140
130620.163 03 0.000
130620.243 01 1.065
130620.243 02 2.568
130620.243 03 0.000
130620.323 01 1.068
130620.323 02 2.140
130620.323 03 0.000
130620.403 01 1.065
130620.404 02 2.996
130620.404 03 0.000
130620.484 01 1.065
130620.484 02 1.712
130620.484 03 0.000
130620.565 01 1.065
130620.565 02 2.568
130620.565 03 0.000
130620.645 01 1.065
130620.645 02 3.424
130620.645 03 0.000
130620.725 01 1.065
130620.725 02 2.996
130620.725 03 0.000
130620.805 01 1.068
