Config file checksum: 97479A50
01 extDist
02 extPres
03 tilt
04 rotaDirDrill
05 feedExtCurr
06 adpeStatus
07 adpeTask
HHMMSS.MS  ID VALUE
082815.789 02 2.568
082815.789 03 0.152
082815.869 01 1.092
082815.869 02 2.140
082815.869 03 0.304
082815.950 01 1.089
082815.950 02 2.568
082815.950 03 0.304
082816.030 01 1.089
082816.030 02 1.712
082816.030 03 0.152
082816.110 01 1.092
082816.110 02 2.568
082816.110 03 0.152
082816.190 01 1.089
082816.190 02 2.568
082816.190 03 0.152
082816.270 01 1.089
082816.270 02 2.140
082816.271 03 0.152
082816.351 01 1.092
082816.351 02 2.568
082816.351 03 0.000
082816.431 01 1.089
082816.431 02 2.140
082816.431 03 0.000
082816.511 01 1.092
082816.511 02 1.712
082816.511 03 0.000
082816.591 01 1.089
082816.592 02 2.568
082816.592 03 0.000
082816.672 01 1.092
082816.672 02 2.140
082816.672 03 0.000
082816.752 01 1.092
082816.752 02 2.140
082816.752 03 0.000
082816.832 01 1.089
082816.832 02 2.140
082816.832 03 0.000
082816.912 01 1.092
082816.912 02 2.140
082816.912 03 0.000
082816.992 01 1.089
082816.993 02 1.712
082816.993 03 0.000
082817.070 01 1.089
082817.070 02 1.712
082817.070 03 0.000
082817.153 01 1.089
082817.153 02 2.568
082817.153 03 0.000
082817.232 01 1.089
082817.232 02 2.140
082817.232 03 0.000
082817.312 01 1.092
082817.313 02 2.140
082817.313 03 0.000
082817.392 01 1.092
082817.393 02 2.140
082817.393 03 0.000
082817.472 01 1.089
082817.472 02 1.712
082817.472 03 0.000
082817.552 01 1.092
082817.553 02 2.140
082817.553 03 0.000
082817.632 01 1.092
082817.632 02 1.712
082817.632 03 0.000
082817.712 01 1.089
082817.712 02 2.568
082817.712 03 0.000
082817.792 01 1.089
082817.792 02 2.140
082817.793 03 0.000
082817.872 01 1.089
082817.872 02 2.140
082817.872 03 0.000
082817.953 01 1.089
082817.953 02 2.140
082817.953 03 -0.456
082818.033 01 1.089
082818.033 02 2.140
082818.033 03 -0.912
082818.113 01 1.092
082818.113 02 2.140
082818.113 03 -1.976
082818.193 01 1.092
082818.193 02 2.568
082818.193 03 -2.584
082818.272 01 1.089
082818.272 02 2.140
082818.272 03 -2.432
082818.354 01 1.089
082818.354 02 2.140
082818.354 03 -1.824
082818.434 01 1.092
082818.434 02 2.568
082818.435 03 -0.760
082818.514 01 1.089
082818.515 02 2.568
082818.515 03 -0.304
082818.595 01 1.089
082818.595 02 2.140
082818.596 03 -0.304
082818.675 01 1.089
082818.675 02 2.140
082818.675 03 -0.304
082818.755 01 1.089
082818.755 02 2.568
082818.756 03 -0.304
082818.835 01 1.092
082818.835 02 2.140
082818.835 03 -0.456
082818.916 01 1.092
082818.916 02 2.568
082818.916 03 -0.304
082818.996 01 1.089
082818.996 02 2.568
082818.996 03 -0.608
082819.076 01 1.092
082819.076 02 2.140
082819.076 03 0.456
082819.157 01 1.089
082819.157 02 2.568
082819.157 03 0.912
082819.237 01 1.089
082819.237 02 2.568
082819.237 03 1.064
082819.317 01 1.092
082819.317 02 2.568
082819.317 03 0.760
082819.398 01 1.089
082819.398 02 2.996
082819.398 03 0.152
082819.478 01 1.089
082819.478 02 2.568
082819.478 03 -0.152
082819.558 01 1.089
082819.559 02 2.568
082819.559 03 -0.152
082819.639 01 1.089
082819.639 02 2.568
082819.639 03 0.304
082819.719 01 1.089
082819.719 02 2.568
082819.719 03 0.608
082819.799 01 1.089
082819.799 02 2.568
082819.799 03 0.608
082819.880 01 1.089
082819.880 02 2.568
082819.880 03 0.456
082819.959 01 1.092
082819.959 02 2.568
082819.959 03 -0.152
082820.039 01 1.089
082820.040 02 2.140
082820.040 03 -0.456
082820.120 01 1.089
082820.120 02 2.568
082820.120 03 -0.456
082820.199 01 1.089
082820.199 02 2.568
082820.199 03 -0.304
082820.279 01 1.089
082820.279 02 2.996
082820.279 03 -0.304
082820.360 01 1.089
082820.360 02 2.996
082820.360 03 0.000
082820.439 01 1.089
082820.439 02 2.568
082820.439 03 -0.152
082820.519 01 1.089
082820.519 02 2.568
082820.519 03 -0.456
082820.600 01 1.089
082820.600 02 2.996
082820.600 03 -0.304
082820.679 01 1.089
082820.679 02 2.996
082820.679 03 -0.304
082820.759 01 1.089
082820.759 02 2.568
082820.759 03 -0.152
082820.839 01 1.089
082820.839 02 2.996
082820.839 03 0.152
082820.920 01 1.089
082820.920 02 2.996
082820.920 03 0.608
082821.000 01 1.089
082821.000 02 2.996
082821.000 03 0.304
082821.080 01 1.089
